,rouge-1,rouge-2,rouge-l,id,ROUGE-1_F1,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-2_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-L_F1,ROUGE-L_Precision,ROUGE-L_Recall,ID_F1,ID_Precision,ID_Recall
45,"{'f': 0.05882352525951587, 'p': 0.041666666666666664, 'r': 0.1}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.06060605638200213, 'p': 0.043478260869565216, 'r': 0.1}",id_dm_164277,0.05882352525951587,0.041666666666666664,0.1,0.0,0.0,0.0,0.06060605638200213,0.043478260869565216,0.1,-,-,-
46,"{'f': 0.2962962913580247, 'p': 0.26666666666666666, 'r': 0.3333333333333333}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07407406913580279, 'p': 0.06666666666666667, 'r': 0.08333333333333333}",id_dm_75343,0.2962962913580247,0.26666666666666666,0.3333333333333333,0.0,0.0,0.0,0.07407406913580279,0.06666666666666667,0.08333333333333333,-,-,-
47,"{'f': 0.20689654720570758, 'p': 0.15789473684210525, 'r': 0.3}","{'f': 0.14814814370370383, 'p': 0.1111111111111111, 'r': 0.2222222222222222}","{'f': 0.23999999520000007, 'p': 0.2, 'r': 0.3}",id_dm_158090,0.20689654720570758,0.15789473684210525,0.3,0.14814814370370383,0.1111111111111111,0.2222222222222222,0.23999999520000007,0.2,0.3,-,-,-
48,"{'f': 0.05405404934989084, 'p': 0.043478260869565216, 'r': 0.07142857142857142}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.05405404934989084, 'p': 0.043478260869565216, 'r': 0.07142857142857142}",id_cnn_21808,0.05405404934989084,0.043478260869565216,0.07142857142857142,0.0,0.0,0.0,0.05405404934989084,0.043478260869565216,0.07142857142857142,-,-,-
49,"{'f': 0.2666666622222223, 'p': 0.2, 'r': 0.4}","{'f': 0.1428571384948981, 'p': 0.10526315789473684, 'r': 0.2222222222222222}","{'f': 0.285714281122449, 'p': 0.2222222222222222, 'r': 0.4}",id_cnn_39064,0.2666666622222223,0.2,0.4,0.1428571384948981,0.10526315789473684,0.2222222222222222,0.285714281122449,0.2222222222222222,0.4,-,-,-
50,"{'f': 0.19047618557823143, 'p': 0.16666666666666666, 'r': 0.2222222222222222}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1621621571658146, 'p': 0.15789473684210525, 'r': 0.16666666666666666}",id_dm_113575,0.19047618557823143,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0,0.1621621571658146,0.15789473684210525,0.16666666666666666,-,-,-
51,"{'f': 0.16666666222222234, 'p': 0.125, 'r': 0.25}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.13333332868888906, 'p': 0.10526315789473684, 'r': 0.18181818181818182}",id_cnn_48055,0.16666666222222234,0.125,0.25,0.0,0.0,0.0,0.13333332868888906,0.10526315789473684,0.18181818181818182,-,-,-
52,"{'f': 0.266666661688889, 'p': 0.25, 'r': 0.2857142857142857}","{'f': 0.071428566454082, 'p': 0.06666666666666667, 'r': 0.07692307692307693}","{'f': 0.19999999502222232, 'p': 0.1875, 'r': 0.21428571428571427}",id_dm_8897,0.266666661688889,0.25,0.2857142857142857,0.071428566454082,0.06666666666666667,0.07692307692307693,0.19999999502222232,0.1875,0.21428571428571427,-,-,-
53,"{'f': 0.48484848007346204, 'p': 0.4, 'r': 0.6153846153846154}","{'f': 0.2580645113839751, 'p': 0.21052631578947367, 'r': 0.3333333333333333}","{'f': 0.42424241946740127, 'p': 0.35, 'r': 0.5384615384615384}",id_dm_55828,0.48484848007346204,0.4,0.6153846153846154,0.2580645113839751,0.21052631578947367,0.3333333333333333,0.42424241946740127,0.35,0.5384615384615384,-,-,-
54,"{'f': 0.22857142390204094, 'p': 0.18181818181818182, 'r': 0.3076923076923077}","{'f': 0.060606055977961794, 'p': 0.047619047619047616, 'r': 0.08333333333333333}","{'f': 0.1176470541003462, 'p': 0.09523809523809523, 'r': 0.15384615384615385}",id_dm_35500,0.22857142390204094,0.18181818181818182,0.3076923076923077,0.060606055977961794,0.047619047619047616,0.08333333333333333,0.1176470541003462,0.09523809523809523,0.15384615384615385,-,-,-
55,"{'f': 0.6285714240653062, 'p': 0.4782608695652174, 'r': 0.9166666666666666}","{'f': 0.4848484804040405, 'p': 0.36363636363636365, 'r': 0.7272727272727273}","{'f': 0.6874999953125, 'p': 0.55, 'r': 0.9166666666666666}",id_dm_43431,0.6285714240653062,0.4782608695652174,0.9166666666666666,0.4848484804040405,0.36363636363636365,0.7272727272727273,0.6874999953125,0.55,0.9166666666666666,-,-,-
56,"{'f': 0.23076922683431958, 'p': 0.15789473684210525, 'r': 0.42857142857142855}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.1599999959680001, 'p': 0.1111111111111111, 'r': 0.2857142857142857}",id_cnn_20805,0.23076922683431958,0.15789473684210525,0.42857142857142855,0.0,0.0,0.0,0.1599999959680001,0.1111111111111111,0.2857142857142857,-,-,-
57,"{'f': 0.5555555505709877, 'p': 0.5263157894736842, 'r': 0.5882352941176471}","{'f': 0.23529411266435996, 'p': 0.2222222222222222, 'r': 0.25}","{'f': 0.4999999950154322, 'p': 0.47368421052631576, 'r': 0.5294117647058824}",id_dm_75163,0.5555555505709877,0.5263157894736842,0.5882352941176471,0.23529411266435996,0.2222222222222222,0.25,0.4999999950154322,0.47368421052631576,0.5294117647058824,-,-,-
58,"{'f': 0.2962962916323732, 'p': 0.23529411764705882, 'r': 0.4}","{'f': 0.07999999539200027, 'p': 0.0625, 'r': 0.1111111111111111}","{'f': 0.23999999520000007, 'p': 0.2, 'r': 0.3}",id_dm_69667,0.2962962916323732,0.23529411764705882,0.4,0.07999999539200027,0.0625,0.1111111111111111,0.23999999520000007,0.2,0.3,-,-,-
59,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_dm_138983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
60,"{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.0, 'p': 0.0, 'r': 0.0}",id_cnn_11925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-
61,"{'f': 0.11428570961632674, 'p': 0.09090909090909091, 'r': 0.15384615384615385}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.12499999517578143, 'p': 0.10526315789473684, 'r': 0.15384615384615385}",id_dm_217918,0.11428570961632674,0.09090909090909091,0.15384615384615385,0.0,0.0,0.0,0.12499999517578143,0.10526315789473684,0.15384615384615385,-,-,-
62,"{'f': 0.07407406924554216, 'p': 0.0625, 'r': 0.09090909090909091}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07407406924554216, 'p': 0.0625, 'r': 0.09090909090909091}",id_dm_76648,0.07407406924554216,0.0625,0.09090909090909091,0.0,0.0,0.0,0.07407406924554216,0.0625,0.09090909090909091,-,-,-
63,"{'f': 0.84999999505, 'p': 0.7727272727272727, 'r': 0.9444444444444444}","{'f': 0.7894736792659279, 'p': 0.7142857142857143, 'r': 0.8823529411764706}","{'f': 0.8333333283950618, 'p': 0.75, 'r': 0.9375}",id_dm_103578,0.84999999505,0.7727272727272727,0.9444444444444444,0.7894736792659279,0.7142857142857143,0.8823529411764706,0.8333333283950618,0.75,0.9375,-,-,-
64,"{'f': 0.13793102963139137, 'p': 0.11764705882352941, 'r': 0.16666666666666666}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.07142856665816359, 'p': 0.058823529411764705, 'r': 0.09090909090909091}",id_dm_104011,0.13793102963139137,0.11764705882352941,0.16666666666666666,0.0,0.0,0.0,0.07142856665816359,0.058823529411764705,0.09090909090909091,-,-,-
65,"{'f': 0.45714285283265316, 'p': 0.3333333333333333, 'r': 0.7272727272727273}","{'f': 0.12121211698806258, 'p': 0.08695652173913043, 'r': 0.2}","{'f': 0.4374999954882812, 'p': 0.3333333333333333, 'r': 0.6363636363636364}",id_dm_164849,0.45714285283265316,0.3333333333333333,0.7272727272727273,0.12121211698806258,0.08695652173913043,0.2,0.4374999954882812,0.3333333333333333,0.6363636363636364,-,-,-
66,"{'f': 0.22222221728395072, 'p': 0.25, 'r': 0.2}","{'f': 0.0, 'p': 0.0, 'r': 0.0}","{'f': 0.12121211625344373, 'p': 0.13333333333333333, 'r': 0.1111111111111111}",id_dm_29323,0.22222221728395072,0.25,0.2,0.0,0.0,0.0,0.12121211625344373,0.13333333333333333,0.1111111111111111,-,-,-
